idx,title,authors,source,year,scopusUrl
1,Seismic risk assessment of regional bridge networks using a stochastic emulator surrogate model,"Amaya E., Taflanidis A.A., Santa Maria H., Candia G.","Reliability Engineering and System Safety, 277, 113035",2027,https://scopus.unalproxy.elogim.com/pages/publications/105045227029?origin=resultslist
2,Behavioural biases and investment decisions with mediating role of risk perception and moderating role of financial literacy,"Malik L., Quddus A., Watto W.A., ... Fahlevi M., Aziz A.L.","Discover Psychology, 6(1), 122",2026,https://scopus.unalproxy.elogim.com/pages/publications/105038053473?origin=resultslist
3,Behavioral portfolio decisions in a GARCH world,"Ehler N., Escobar-Anel M., Stentoft L., Zagst R.","Financial Innovation, 12(1), 123",2026,https://scopus.unalproxy.elogim.com/pages/publications/105039934404?origin=resultslist
4,Behaviorally informed deep reinforcement learning for portfolio optimization with loss aversion and overconfidence,"Charkhestani A., Esfahanipour A.","Scientific Reports, 16(1), 6443",2026,https://scopus.unalproxy.elogim.com/pages/publications/105030194215?origin=resultslist
5,Islamic Values and Gen Z's Investment Behavior in the Sharia Stock Market: Beyond Rationality,"Priyono A.A., Saraswati E., Widarko A.","Munaddhomah, 7(1)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105024558611?origin=resultslist
6,A cultural finance perspective on the low volatility anomaly,"Solanki K., Seetharam Y., Page D.","Research in International Business and Finance, 90, 103562",2026,https://scopus.unalproxy.elogim.com/pages/publications/105045377128?origin=resultslist
7,Cybercrime in digital asset markets: evidence from high-frequency cryptocurrency data and implications for MiCA,Mohamad A.,"Digital Finance, 8(3), 38",2026,https://scopus.unalproxy.elogim.com/pages/publications/105043447570?origin=resultslist
8,From Financial Literacy to Investment Intention: The Sequential Roles of Risk Perception and Trust,"Pelawi J.B., Sumiati S., Ratnawati K., Juwita H.A.J.","Journal of Risk and Financial Management, 19(7), 467",2026,https://scopus.unalproxy.elogim.com/pages/publications/105045757791?origin=resultslist
9,Behavioral Biases and Investor Decision-Making in the Saudi Stock Market: The Moderating Roles of Overconfidence and Loss Aversion in an Islamic and Oil-Dependent Economy,"Abdalla R., Al Aaraj H., Alam Y.","Journal of Risk and Financial Management, 19(7), 522",2026,https://scopus.unalproxy.elogim.com/pages/publications/105045885898?origin=resultslist
10,Optimizing commodity investor decision-making: A metaheuristic approach to addressing behavioral biases in finance,"Rout S., Sahoo S., Mishra R.K.","Aip Conference Proceedings, 3388(1), 060007",2026,https://scopus.unalproxy.elogim.com/pages/publications/105042308367?origin=resultslist
11,Expert-Based Risk Mapping for Low-Carbon Hydrogen Production Under Geopolitical Constraints: A Case Study of Russia,"Revinova S., Gomonov K., Ratner S., Shaposhnikov A.","Hydrogen Switzerland, 7(2), 71",2026,https://scopus.unalproxy.elogim.com/pages/publications/105043194914?origin=resultslist
12,A PRISMA-Based Systematic Review of Behavioral Biases and Demographic Moderators in Investment Decision-Making,"Douhabi E.M., Drissi Z.","Journal of Risk and Financial Management, 19(6), 418",2026,https://scopus.unalproxy.elogim.com/pages/publications/105042691208?origin=resultslist
13,Revisiting risk perception in goals-based equity investment: evidence from emerging investors in Bangalore,"Thamizhselvi M., Dey V., SasiKala V., Kiran P.","SN Business and Economics, 6(6), 190",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040593246?origin=resultslist
14,A cyber risk economics model for organization-wide risk management (CYREM-ORM),"Xin T., He Y., Zamani E.D., Evans M., Luo C.","Computers and Security, 165, 104873",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031588576?origin=resultslist
15,Understanding Impact Investment Intention Using the Extended Theory of Planned Behaviour,"Rathee P., Aggarwal S.","Global Business Review, 27(3)",2026,https://scopus.unalproxy.elogim.com/pages/publications/85136945795?origin=resultslist
16,"Political conservatism and investor risk tolerance: implications for suitability, profiling, and segmentation","de Souza M.L., da Silva W.V., da Veiga C.P., Pinto I.M.B.S., de Lima M.V.A.","Journal of Financial Services Marketing, 31(2), 35",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040047135?origin=resultslist
17,"Two financial worlds and the bridge between them: profiling crypto, traditional, and dual investors","Lara-Bueno P., Tercero-Lucas D.","Journal of International Financial Markets Institutions and Money, 109, 102326",2026,https://scopus.unalproxy.elogim.com/pages/publications/105034978525?origin=resultslist
18,Machine learning for risk profiling: An analysis of pension fund participants,"Goncu A., Kuzubas T.U., Saltoglu B.","Borsa Istanbul Review, 26(3), 100800",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028421790?origin=resultslist
19,Intelligent Borrower Profiling for Risk-Aware Loan Decision Making and Portfolio Optimization,Mohanakrishnan S.,"Journal of Internet Services and Information Security, 16(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105042594507?origin=resultslist
20,Weighted Average Cost of Capital in Declining Interest Rate Environments (Part II): Qualitative Expert Research,"Frey S., Heilmann H.","Journal of Risk and Financial Management, 19(5), 326",2026,https://scopus.unalproxy.elogim.com/pages/publications/105040027944?origin=resultslist
21,An EGU Evaluation System Model To Assist Insurance Companies In Decision-Making During ExtremeWeather Events,Zhang H.,Proceedings of 2025 5th International Conference on Big Data Artificial Intelligence and Risk Management Icbar 2025,2026,https://scopus.unalproxy.elogim.com/pages/publications/105038707624?origin=resultslist
22,Towards Understanding Financial Decision-Making in Equity Markets Among German and Indian Participants: Survey-based Findings,"Ghosh S., Packham N.","Conference on Human Factors in Computing Systems Proceedings, 688",2026,https://scopus.unalproxy.elogim.com/pages/publications/105038097390?origin=resultslist
23,Intergenerational Shifts in Equity Investment Behavior: From Traditional Media to Social Media Among Family Business Investors,"Shriya K., Velmurugan T.","Qubahan Academic Journal, 6(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105038025051?origin=resultslist
24,The Flow–Performance Relationship and Behavioral Biases: Evidence from Spanish Mutual Fund Flows,"Arenas-Laorga C., Gil Capella F.","Risks, 14(4), 88",2026,https://scopus.unalproxy.elogim.com/pages/publications/105037032748?origin=resultslist
25,Co-movement Between NIFTY Spot and Futures Indices: A Time–Frequency Analysis Using Wavelet,"Katoch R., Batra S.","Studies in Microeconomics, 14(1)",2026,https://scopus.unalproxy.elogim.com/pages/publications/85173638771?origin=resultslist
26,Operational Resilience Under Carbon Constraints: A Socio-Technical Multi-Agentic Approach to Global Supply Chains,"Kaur R., Kundu T., Sharma B., Park K.M., Pinsky E.","Systems, 14(4), 374",2026,https://scopus.unalproxy.elogim.com/pages/publications/105037087690?origin=resultslist
27,Unit-level stranded asset of coal power under low-carbon transition pathways toward China's carbon neutrality,"Wang Y., Zhang Y., Wang K., Liu J., Pan X.","Energy Policy, 211, 115132",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028612499?origin=resultslist
28,How trading shocks shape risk preferences: nonlinear evidence from retail forex traders,"Han G., Preda A.","Review of Behavioral Finance, 18(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105029621734?origin=resultslist
29,AI governance after MiFID II: beyond (mere) technological neutrality?,Azzutti A.,"Era Forum, 27(1)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105029272389?origin=resultslist
30,How you measure transition risk matters: comparing and evaluating climate transition risk metrics,Fliegel P.,"Journal of Corporate Finance, 98, 102939",2026,https://scopus.unalproxy.elogim.com/pages/publications/105027225159?origin=resultslist
31,Investment Risk Appetite (IRA): Scale Development and Validation,"Qaysi T., Sulphey M.M.","Journal of Risk and Financial Management, 19(3), 205",2026,https://scopus.unalproxy.elogim.com/pages/publications/105034098661?origin=resultslist
32,Adaptability factors and behavioral biases of investors in frontier markets: An adaptive market hypothesis perspective,"Jannatunnesa J., Mahdzan N.S., Noman A.H.Md.","Plos One, 21(3 March), e0345883",2026,https://scopus.unalproxy.elogim.com/pages/publications/105033985486?origin=resultslist
33,Loss aversion in investment: A bibliometric and network visualization analysis,"Soman S.S., Chirputkar A., Punjani K.K.","Journal of Behavioral and Experimental Finance, 49, 101155",2026,https://scopus.unalproxy.elogim.com/pages/publications/105029830195?origin=resultslist
34,Portfolio Selection Based on Time–Frequency Connectedness: Evidence from GCC Sectoral Stock Markets and the Oil Market,"Amar A.B., Hachicha N., Brahim M., Sbihi A.","Computational Economics, 67(3)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105003149220?origin=resultslist
35,"Bitcoin and Gold Causality Across Quantiles, Frequencies, and Market Regimes",Sodnomdavaa T.,"Journal of Risk and Financial Management, 19(3), 215",2026,https://scopus.unalproxy.elogim.com/pages/publications/105034354082?origin=resultslist
36,"SUSTAINABILITY, ETHICAL CAPITAL, AND INVESTMENT BEHAVIOUR: EMPIRICAL EVIDENCE FROM ESG MUTUAL FUND PREFERENCES IN CULTURAL AND CREATIVE INDUSTRIES","Negi P., Srivastava M.","Shodhkosh Journal of Visual and Performing Arts, 7(1s)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105030837891?origin=resultslist
37,How information overload and heuristics shape digital investment decisions,"Verma V., Singh P., Tiwari R., Pandey D.C.","Journal of Asian Scientific Research, 16(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105041383780?origin=resultslist
38,How Framing Susceptibility Is Associated with Investment Grip: Evidence from Japanese Retail Investors,"Otchere-Appiah G., Kuramoto Y., Bawalle A.A., Kadoya Y.","Risks, 14(2), 40",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031155510?origin=resultslist
39,A Personalized Investment Advisory System Using Large Language Models: Evidence from Vietnam’s Stock Market,"To M.H., Tran B.M.","Global Business and Finance Review, 31(2)",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031692590?origin=resultslist
40,Managerial climate risk perception bias and corporate investment inefficiency: Evidence from Chinese listed firms,"Zhao Y., Li J.","Finance Research Letters, 90, 109399",2026,https://scopus.unalproxy.elogim.com/pages/publications/105025518229?origin=resultslist
41,Portfolio Construction Under Behavioral Distortions and Narrow Framing: A Machine Learning Approach,Tsomidis G.,"Mathematics, 14(4), 607",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031397749?origin=resultslist
42,Do match surprises move fan token prices? Evidence from UEFA competitions,"Blom M.J., Henriques Pereira M.","Finance Research Letters, 90, 109349",2026,https://scopus.unalproxy.elogim.com/pages/publications/105025594967?origin=resultslist
43,Global Attention and Market Resilience: Evidence from the Gaza Conflict and Israeli Financial Assets,"Papanikolaou N., Vasileiou E., Pantos T.","Economies, 14(2), 61",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031385971?origin=resultslist
44,Seismic Exposure Modelling of the Romanian Residential Building Stock for (Re)Insurance Applications,"Gheorghe B., Vacareanu R.","Buildings, 16(4), 728",2026,https://scopus.unalproxy.elogim.com/pages/publications/105031422448?origin=resultslist
45,Exploring the role of simulated learning on portfolio management: enhancing investment decisions by addressing behavioural biases,"Kushwah R., Sahoo K.K., Jaldhari S.",Navigating Digital Disruption Strategies for Sustainable Business Management,2026,https://scopus.unalproxy.elogim.com/pages/publications/105026327372?origin=resultslist
46,Role of artificial intelligence (AI) in strengthening impact of behavioral factors on investment decision process of IT/ITES employee towards behavioral finance,"Kavya J., Kotteeswaran M.","Aip Conference Proceedings, 3345(1), 020183",2026,https://scopus.unalproxy.elogim.com/pages/publications/105028329100?origin=resultslist
