wos_id,title,authors,journal,year,volume,pages,doi
WOS:000895297100005,Discriminants of risk tolerance among Indian investors: a dichotomous discriminant approach,"Chhatoi, Biswajit Prasad and Mohanty, Munmun",INTERNATIONAL JOURNAL OF MANAGERIAL AND FINANCIAL ACCOUNTING,2023,15,112-134,10.1504/IJMFA.2023.127528
WOS:000539505000001,Influence of investor sentiment and its antecedent on investment decision-making using partial least square technique,"Haritha, P. H. and Uchil, Rashmi",MANAGEMENT RESEARCH REVIEW,2020,43,1441-1459,10.1108/MRR-06-2019-0254
WOS:001487803600002,"Cognitive biases, Robo advisor and investment decision psychology: An investor's perspective from New York stock exchange","Ahmad, Usman and Van Keulen, Maurice and Briassouli, Alexia and Saad, Muhammad",ACTA PSYCHOLOGICA,2025,256,,10.1016/j.actpsy.2025.105048
WOS:000571036300020,"Retail investor experience, asset learning, and portfolio risk-adjusted returns","Fjesme, Sturla Lyngnes",FINANCE RESEARCH LETTERS,2020,36,,10.1016/j.frl.2019.101315
WOS:001191316800016,"Risk factors, uncertainty, and investment decision: evidence from mutual fund flows from India","Nedumparambil, Elizabeth and Bhandari, Anup Kumar",INDIAN ECONOMIC REVIEW,2022,57,349-372,10.1007/s41775-022-00155-8
WOS:001460786200001,"Herding behavior, disposition effect, and investment decisions: A multi-mediation analysis of risk perception and dividend policy","Bhutto, Sarfaraz Ahmed and Nazeer, Nazia and Saad, Muhammad and Talreja, Kewal",ACTA PSYCHOLOGICA,2025,255,,10.1016/j.actpsy.2025.104964
WOS:001549799500001,Consumer Investment Behaviour: A Systematic Review Using TCM and ADO Frameworks,"Kumar, Arun and Ranjani, K. S.",INTERNATIONAL JOURNAL OF CONSUMER STUDIES,2025,49,,10.1111/ijcs.70110
WOS:000639112300118,Behavioral Biases on Investment Decision: A Case Study in Indonesia,"Kartini, Kartini and Nahda, Katiya",JOURNAL OF ASIAN FINANCE ECONOMICS AND BUSINESS,2021,8,1231-1240,10.13106/jafeb.2021.vol8.no3.1231
WOS:000544841000007,Evaluation of behavioral biases affecting investment decision making of individual equity investors by fuzzy analytic hierarchy process,"Jain, Jinesh and Walia, Nidhi and Gupta, Sanjay",REVIEW OF BEHAVIORAL FINANCE,2020,12,297-314,10.1108/RBF-03-2019-0044
WOS:001713951100001,The brain behind the portfolio: the neurological foundations of investment decisions,"Khan, Anum and Fatima, Hina and Shah, Syed Alamdar Ali",JOURNAL OF ISLAMIC MARKETING,2026,,,10.1108/JIMA-12-2023-0393
WOS:001495156900001,Regret aversion in Japanese and US stock markets: Analyzing the effects of market conditions,"Kim, Somyung and Ohk, Kiyool",JAPAN AND THE WORLD ECONOMY,2025,74,,10.1016/j.japwor.2025.101311
WOS:001551745100002,Psychological biases and contextual factors as the determinants of financial satisfaction: an evidence-based study on individual investment decisions,"Shukla, Kritika and Kumar, Vibhash",GLOBAL BUSINESS AND ECONOMICS REVIEW,2024,31,91-117,10.1504/GBER.2024.139314
WOS:001637944900003,A portfolio-focused behavioral model linking financial literacy and risk tolerance: Evidence from mutual fund investors in Türkiye,"Hamurcu, Cagri and Hazar, Adalet and Babuscu, Senol",BORSA ISTANBUL REVIEW,2025,25,119-127,10.1016/j.bir.2025.09.001
WOS:001300591900003,Additive Determination of an Investor's Risk Tolerance in Asset Allocation,"Patel, Samveg and Dibartolomeo, Dan",JOURNAL OF INVESTING,2024,33,34-54,
WOS:001430412600001,Smoothing the Subjective Financial Risk Tolerance: Volatility and Market Implications,"Heo, Wookjae and Kim, Eunchan",MATHEMATICS,2025,13,,10.3390/math13040680
WOS:001087823400001,Reconciling Self-Assessed with Psychometric Risk Tolerance: A New Framework for Profiling Risk among Investors,"Mazzoli, Camilla and Palmucci, Fabrizio",JOURNAL OF BEHAVIORAL FINANCE,2025,26,201-214,10.1080/15427560.2023.2271108
WOS:001751535500001,When Confidence and Knowledge Diverge: Investor Calibration and Portfolio Behavior,"Bonaparte, Yosef and Fabozzi, Frank J.",JOURNAL OF BEHAVIORAL FINANCE,2026,,,10.1080/15427560.2026.2651122
WOS:001119274500002,Driving Millennials To Be Investors: The Case Of Investment Decision Performance In Indonesian Capital Market,"Darmayanti, Ni Putu Ayu and Wiagustini, Ni Luh Putu and Artini, Luh Gede Sri and Candraningrat, Ica Rika",QUALITY-ACCESS TO SUCCESS,2023,24,167-174,10.47750/QAS/24.196.22
WOS:000761168200003,The Effect of Investment Literacy on the Likelihood of Retail Investor Margin Trading and Having a Margin Call,"Kim, Hohyun and Kim, Kyoung Tae and Hanna, Sherman D.",FINANCE RESEARCH LETTERS,2022,45,,10.1016/j.frl.2021.102146
WOS:000935175300009,The Influence of Social and Personal Factors in Individual Investment Decision Making,"Pa, Andiena Nindya Putri and Wiksuana, IGB. and Suartana, I. Wayan and Artini, Luh Gede Sri",QUALITY-ACCESS TO SUCCESS,2022,23,80-88,10.47750/QAS/23.191.10
WOS:000600146500001,Do sociodemographic factors have influence on risk tolerance level of stock market investors? An analysis from a developing country perspective,"Muktadir-Al-Mukit, Dewan",SOUTH ASIAN JOURNAL OF BUSINESS STUDIES,2022,11,149-173,10.1108/SAJBS-11-2019-0193
WOS:000550161600001,A model for female South African investors' financial risk tolerance,"Lawrenson, J. and Dickason-Koekemoer, Z.",COGENT ECONOMICS \& FINANCE,2020,8,,10.1080/23322039.2020.1794493
WOS:001398286100003,A taxonomy of literature reviews and experimental study of deepreinforcement learning in portfolio management,"Rezaei, Mohadese and Nezamabadi-Pour, Hossein",ARTIFICIAL INTELLIGENCE REVIEW,2025,58,,10.1007/s10462-024-11066-w
WOS:000743760000001,The importance of staying positive: The impact of emotions on attitude to risk,"Brooks, Chris and Sangiorgi, Ivan and Saraeva, Anastasiya and Hillenbrand, Carola and Money, Kevin",INTERNATIONAL JOURNAL OF FINANCE \& ECONOMICS,2023,28,3232-3261,10.1002/ijfe.2591
WOS:001490771500001,Interconnectedness of Emotions With Investment Decision-Making: A Conceptual Framework,"Verma, Shubhangi and Rao, Purnima and Burton, Bruce and Kumar, Satish",JOURNAL OF ECONOMIC SURVEYS,2026,40,116-132,10.1111/joes.12706
WOS:001444207200001,Can cryptocurrencies improve portfolio diversification? Evidence from the prospect risk perspective,"Wang, Zhan and Gao, Xiang and Gu, Jiahao",RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,2025,76,,10.1016/j.ribaf.2025.102828
WOS:001565256700001,Assessing risk and loss aversion: COVID-19 and investor behavior in the Polish stock market,"Lukowski, Michal and Sliwinski, Pawel and Gemra, Kamil and Maruszewski, Janusz",CENTRAL EUROPEAN MANAGEMENT JOURNAL,2025,,,10.1108/CEMJ-02-2024-0047
WOS:001229868400001,"Financial awareness, risk aversion and portfolio choice","Chhatwani, Malvika",APPLIED ECONOMICS,2025,57,4279-4294,10.1080/00036846.2024.2356896
WOS:000775262400001,Examining Risk Absorption Capacity as a Mediating Factor in the Relationship between Cognition and Neuroplasticity in Investors in Investment Decision Making,"Behera, Yadav Devi Prasad and Nanda, Sudhansu Sekhar and Sharma, Shibani and Sahoo, Tushar Ranjan",INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,2022,10,,10.3390/ijfs10010021
WOS:000986421700001,Investor sentiment and the risk-return relation: A two-in-one approach,"Duxbury, Darren and Wang, Wenzhao",EUROPEAN FINANCIAL MANAGEMENT,2024,30,496-543,10.1111/eufm.12427
WOS:000599969000001,Overconfidence heuristic-driven bias in investment decision-making and performance: mediating effects of risk perception and moderating effects of financial literacy,"Ahmad, Maqsood and Shah, Syed Zulfiqar Ali",JOURNAL OF ECONOMIC AND ADMINISTRATIVE SCIENCES,2022,38,60-90,10.1108/JEAS-07-2020-0116
WOS:001700809400001,Portfolio Construction Under Behavioral Distortions and Narrow Framing: A Machine Learning Approach,"Tsomidis, Georgios",MATHEMATICS,2026,14,,10.3390/math14040607
WOS:001572620800001,Robo Advising and Investor Profiling,"Gaspar, Raquel M. and Oliveira, Madalena",FINTECH,2024,3,102-115,10.3390/fintech3010007
WOS:001343460800003,THE CAUSALITY RELATIONSHIP BETWEEN CREDIT DEFAULT SWAPS (CDS) AND PORTFOLIO INVESTMENTS: THE CASE OF TÜRKİYE,"Kucukosman, Asiye and Uzun, Sumeyye",EKONOMI POLITIKA \& FINANS ARASTIRMALARI DERGISI,2024,9,462-483,10.30784/epfad.1535924
