title,authors,source_journal,year,doi,doi_status,doi_match_ratio,origin,scopusUrl,wos_id,abstract,abstract_source,doi_native_scopus,doi_agreement,cribado_decision_ia,cribado_criterio,cribado_motivo,cribado_decision_final,cribado_resolucion
Seismic risk assessment of regional bridge networks using a stochastic emulator surrogate model,"Amaya E., Taflanidis A.A., Santa Maria H., Candia G.","Reliability Engineering and System Safety, 277, 113035",2027,10.1016/j.ress.2026.113035,VERIFIED,1.0,Scopus only,https://scopus.unalproxy.elogim.com/pages/publications/105045227029?origin=resultslist,,"In seismic-prone regions, assessment of the risk of regional bridge networks is essential for quantifying resilience metrics. Ideally this assessment needs to rely on high-fidelity numerical simulation models and on a comprehensive quantification of the seismic hazard. Unfortunately, the computational burden associated with such a faithful assessment of risk across the bridge portfolio is prohibitive for larger networks. This study investigates the use of a Gaussian Process (GP)-based stochastic emulation framework to alleviate this burden. A single surrogate model is established across all bridges of the same typology in the network. The surrogate model development accounts for diverse bridge configurations, as well as aleatoric ground motion variability across different intensity levels. The implementation also addresses aleatoric correlations across different engineering demand parameters for each bridge. The framework is implemented for risk assessment of the Chilean bridge network, specifically for four different bridge typologies, representing the predominant configurations within the national bridge inventory. It also examines in detail the computational benefits of establishing a single surrogate model across each typology, by comparing its accuracy to an application that considers the development of separate surrogate models per bridge type. The case study validates the accuracy of the stochastic emulation framework and illustrates the computational benefits for regional risk assessment. The latter is accomplished by comparing the results to different approximate formulations with respect to the assumptions for modeling the bridges within the network or the fidelity for considering and propagating the different types of uncertainties impacting the risk estimation.",SCOPUS_UI,10.1016/j.ress.2026.113035,MATCH,EXCLUDE,E1,"Evalúa riesgo sísmico de puentes mediante modelos sustitutos, sin relación con perfiles conductuales de inversionistas (E1).",EXCLUDE,
Behavioural biases and investment decisions with mediating role of risk perception and moderating role of financial literacy,"Malik, Laraib and Quddus, Abdul and Watto, Waqas Ahmad and Barakat, Hanan Amin and Fahlevi, Mochammad and Aziz, Aulia Luqman",DISCOVER PSYCHOLOGY,2026,10.1007/s44202-026-00669-9,FROM_WOS,1.0,Scopus + WoS,https://scopus.unalproxy.elogim.com/pages/publications/105038053473?origin=resultslist,WOS:001754770300003,"Behavioural biases influence investment decisions by altering how investors perceive risks and assess financial data. In developing markets like the Pakistan Stock Exchange (PSX), where behavioural biases affect investment decisions both directly and indirectly through risk perception, the moderating function of financial literacy has been overlooked. In order to assess how behavioural biases influence the decisions made by retail investors, this study presents a comprehensive behavioural finance model that incorporates risk perception as a mediating variable and financial literacy as a moderating variable. A structured questionnaire was developed using Google Forms and distributed online to gather primary data. A purposive sample technique was used, and 280 valid responses were obtained from active PSX retail investors. Partial least squares structural equation modelling (PLS-SEM) was used to analyse the data using SmartPLS. The findings show that behavioural biases significantly impact investment decisions directly and indirectly through perceptions of risk. Furthermore, financial literacy significantly moderates this relationship by reducing the negative impact of behavioural biases on investment decisions. These findings contribute to the field of behavioural finance by highlighting the importance of financial knowledge in lowering biased investment behaviour. The study provides valuable insights for regulators, lawmakers, and financial educators in the creation of focused investor education programmes aimed at enhancing decision-making quality and lowering behavioural vulnerabilities in emerging financial markets.",SCOPUS_UI,10.1007/s44202-026-00669-9,MATCH,INCLUDE,"I1,I2,I3,I4",Estudia inversionistas minoristas del PSX y el efecto de sesgos conductuales y percepción de riesgo sobre decisiones de inversión en acciones (I1-I4).,INCLUDE,
Behavioral portfolio decisions in a GARCH world,"Ehler, Nando and Escobar-Anel, Marcos and Stentoft, Lars and Zagst, Rudi",FINANCIAL INNOVATION,2026,10.1186/s40854-026-00930-z,FROM_WOS,1.0,Scopus + WoS,https://scopus.unalproxy.elogim.com/pages/publications/105039934404?origin=resultslist,WOS:001772137600001,"This paper pioneers behavioral portfolio decisions as per prospect theory under a stochastic volatility setting that is exemplified by the use of an affine GARCH model. We derive a closed-form representation for the allocation towards the risky asset based on a delta replication of the optimal terminal wealth under a given risk-neutral measure. Our proposed methodology can be viewed as an adaptation of the Martingale method, combining (1) a static maximization for a given pricing kernel to derive the best terminal wealth and (2) delta-hedging to create a replicating portfolio. Our results demonstrate the remarkable impact of stochastic volatility on behavioral portfolio allocations and their performance for a variety of parametrizations for the investors’ risk aversion and risk-seeking preferences, reference level, and investment horizon. Moreover, we find that neglecting stochastic volatility in the decision process can lead to significant expected utility losses. In particular, the certainty equivalence from considering a GARCH model could be 20% larger than from assuming a constant volatility setting for standard market conditions and investors.",SCOPUS_UI,10.1186/s40854-026-00930-z,MATCH,INCLUDE,"I1,I2,I3,I4","Modela teóricamente decisiones de cartera de inversionistas conductuales (aversión a la pérdida, horizonte de inversión) bajo teoría de las perspectivas para activos de riesgo (I1-I4).",INCLUDE,
Behaviorally informed deep reinforcement learning for portfolio optimization with loss aversion and overconfidence,"Charkhestani, Atefe and Esfahanipour, Akbar",SCIENTIFIC REPORTS,2026,10.1038/s41598-026-35902-x,FROM_WOS,1.0,Scopus + WoS,https://scopus.unalproxy.elogim.com/pages/publications/105030194215?origin=resultslist,WOS:001693289200016,"This study develops a behaviorally informed deep reinforcement learning (DRL) framework for algorithmic portfolio optimization. The model integrates two well-established behavioral biases, loss aversion and overconfidence, into an actor–critic architecture. Unlike conventional DRL systems that assume fully rational agents, the proposed framework incorporates investor heterogeneity through regime-dependent bias thresholds that adjust position sizing, while the underlying RL policy determines trading direction. To adaptively switch among three behavioral models loss loss-averse, overconfident, and neutral, the framework employs TimesNet to generate one-step-ahead market regime forecasts. All decisions follow a strict walk-forward evaluation protocol that precludes access to future information and ensures realistic out-of-sample performance measurement. The framework is evaluated across two major financial domains: the cryptocurrency market (2018–2024) and the Dow Jones Industrial Average (2008–2024). The integrated BBAPT architecture, which combines TimesNet with behavioral DRL, consistently outperforms benchmark strategies including neutral RL agents, classical Markowitz portfolios, and equally weighted allocations. In cryptocurrency markets, BBAPT achieves the highest risk-adjusted performance, while in equity markets it delivers improved risk–return outcomes even after accounting for time-varying index constituents. Overall, the empirical evidence demonstrates that embedding behavioral finance principles into reinforcement learning enhances robustness, adaptability, and risk-adjusted returns in non-stationary environments. These findings position behaviorally informed DRL as a promising foundation for next-generation algorithmic trading systems.",SCOPUS_UI,10.1038/s41598-026-35902-x,MATCH,INCLUDE,"I1,I2,I3,I4",Integra aversión a la pérdida y exceso de confianza como sesgos conductuales del inversionista en un marco de optimización de cartera sobre criptoactivos y acciones (I1-I4).,INCLUDE,
Islamic Values and Gen Z's Investment Behavior in the Sharia Stock Market: Beyond Rationality,"Priyono A.A., Saraswati E., Widarko A.","Munaddhomah, 7(1)",2026,10.31538/munaddhomah.v6i4.2298,VERIFIED,1.0,Scopus only,https://scopus.unalproxy.elogim.com/pages/publications/105024558611?origin=resultslist,,"This study explores how financial literacy and risk perception impact Sharia stock investment decisions among Generation Z students, with Islamic values as a moderator variable. The urgency of this research arises from the relatively slow growth of Sharia investors in Indonesia, which only accounted for 2.6% of total stock market investors in November 2023, even though Generation Z represents the majority of new investors. The quantitative explanatory research design was applied by surveying 130 students from the Faculty of Economics and Business, Islamic University of Malang, active in the Sharia Investment Gallery. The data were analyzed using Partial Least Squares–Structural Equation Modeling with WarpPLS software. The findings revealed that financial literacy and Islamic values significantly influenced Sharia stock investment decisions, while risk perception did not show a significant effect. Moreover, moderation analysis shows that Islamic values do not strengthen the relationship between independent variables and investment decisions but serve as direct determinants. The novelty of this study shows that, in a context with high religious homogeneity, Islamic values operate as internalized standards that shape investment behavior. These insights advance Islamic Behavioral Finance and inform policies on Islamic financial literacy and sustainable capital market development.",SCOPUS_UI,10.31538/munaddhomah.v7i1.2298,MISMATCH,INCLUDE,"I1,I2,I3,I4",Analiza cómo la percepción de riesgo y la alfabetización financiera influyen en decisiones de inversión bursátil de inversionistas individuales Gen Z (I1-I4).,INCLUDE,
A cultural finance perspective on the low volatility anomaly,"Solanki, Kamini and Seetharam, Yudhvir and Page, Daniel",RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE,2026,10.1016/j.ribaf.2026.103562,FROM_WOS,1.0,Scopus + WoS,https://scopus.unalproxy.elogim.com/pages/publications/105045377128?origin=resultslist,WOS:001834815500001,"Purpose This research investigates whether cross-country cultural differences help explain stock market return patterns associated with the low volatility anomaly. Cultural differences are captured using Hofstede’s individualism and uncertainty avoidance indices (Hofstede, 2001), which have been associated in prior research with systematic differences in how investors process information, respond to uncertainty, and exhibit overconfidence- and loss-aversion-related behaviour. Methodology The empirical analysis proceeds in three steps: (1) we assess whether the individualism and uncertainty avoidance indices behave consistently with cultural channels linked in prior research to overconfidence- and loss-aversion-related behaviour, using regression analysis; (2) we test whether each cultural index is related to the cross-country profitability of low-volatility strategies; and (3) we estimate cross-country regressions that include the two cultural indices alongside other proposed determinants of low volatility. Findings We find that individualism helps explain cross-country variation in low volatility returns. This supports the individualism hypothesis: investors in highly individualistic countries place greater weight on their own judgement and information processing, which can contribute to abnormal returns. In contrast, the evidence does not support the proposed UAI -based loss-aversion hypothesis. UAI is insignificant in some specifications and significantly negative in others, indicating that the results run counter to the predicted positive relationship between uncertainty avoidance and low-volatility returns. Consistent with prior studies, we caution against using the uncertainty avoidance index as a direct proxy for risk acceptance or loss aversion. Originality Cross-cultural tests of stock market anomalies have largely focused on momentum. This study links cultural finance to the low volatility anomaly, providing new evidence on its drivers and reinforcing the relevance of cultural finance in international asset pricing research.",SCOPUS_UI,10.1016/j.ribaf.2026.103562,MATCH,INCLUDE,"I1,I2,I3,I4","Evidencia empírica de canales conductuales (exceso de confianza, aversión a la pérdida) que explican la anomalía de baja volatilidad en mercados accionarios (I1-I4).",INCLUDE,
Cybercrime in digital asset markets: evidence from high-frequency cryptocurrency data and implications for MiCA,Mohamad A.,"Digital Finance, 8(3), 38",2026,10.1007/s42521-026-00203-5,VERIFIED,1.0,Scopus only,https://scopus.unalproxy.elogim.com/pages/publications/105043447570?origin=resultslist,,"This study examines whether cybercrime in cryptocurrency markets generates localised disruptions or systemic distress, and considers the implications for the European Union’s Markets in Crypto-Assets Regulation (MiCA). The research is original in three respects: it uses hourly data to capture intraday contagion, it integrates efficient market, behavioural, and regulatory theories within a single empirical design, and it proposes performance‑based metrics for MiCA supervision. The results show that most incidents are absorbed as idiosyncratic shocks, whereas a small subset of large, infrastructure‑relevant events produce short‑lived contagion. Infrastructure‑relevant events are defined as those targeting cross‑chain bridges, major decentralised finance platforms, or systemic custodians, with losses exceeding US$200 million. Drawing on theories of information efficiency and financial contagion, complemented by behavioural finance perspectives on herding, loss aversion and adaptive learning, we analyse hacks and scams that occurred between January 2020 and December 2022 using three inclusion criteria: a minimum verified loss of US$200 million, a publicly verifiable timestamp, and the involvement of a distinct platform or protocol. We employ hourly data for Bitcoin, Ethereum, Bitcoin Cash, Litecoin and Ripple. Using multivariate GARCH, DCC‑GARCH and event‑study methods, we find that cybercrime consistently elevates volatility yet produces heterogeneous effects on abnormal returns and cross‑market correlations. Most incidents are absorbed as idiosyncratic shocks with limited correlation spillovers, whereas the infrastructure‑relevant events transiently increase market‑wide co‑movements, consistent with short‑lived contagion and sentiment‑driven overreaction. We further document patterns consistent with investor learning, in which reactions to later shocks are weaker than to earlier ones. These findings advance theory by demonstrating that the crypto market alternates between efficient information segmentation and episodic behavioural contagion under stress, a pattern not previously documented. From a policy perspective, the findings support risk‑proportionate, performance‑based supervision under MiCA using observable resilience metrics such as the speed of volatility normalisation, the persistence of abnormal returns and the intensity of cross‑asset contagion.",SCOPUS_UI,10.1007/s42521-026-00203-5,MATCH,UNCERTAIN,AMBIGUO,"Mezcla ciberseguridad de criptomercados con marcos conductuales (manada, aversión a la pérdida, aprendizaje del inversionista); no es claro si el enfoque principal es el comportamiento del inversionista o el riesgo cibernético/regulatorio (AMBIGUO).",EXCLUDE,"Excluido por decision explicita del autor de la tesis (2026-08-16): ante la duda sobre ajuste con los criterios de poblacion/constructo/activo, se opta por excluir por precaucion. Registro identificado queda disponible para reconsideracion en fases posteriores si se requiere."
From Financial Literacy to Investment Intention: The Sequential Roles of Risk Perception and Trust,"Pelawi J.B., Sumiati S., Ratnawati K., Juwita H.A.J.","Journal of Risk and Financial Management, 19(7), 467",2026,10.3390/jrfm19070467,VERIFIED,1.0,Scopus only,https://scopus.unalproxy.elogim.com/pages/publications/105045757791?origin=resultslist,,"The relationship between financial literacy and capital market participation remains a central focus of both theoretical and empirical research in behavioral finance. However, existing research has predominantly relied on direct-effect, mediation, or moderation frameworks, thereby offering only a partial understanding of how individuals make investment decisions under uncertainty. To address this limitation, this study develops a sequential cognitive–affective framework by integrating the Theory of Planned Behavior (TPB) and the Risk-as-Feelings Hypothesis (RFH). Within this framework, investment intention is conceptualized as the outcome of cognitive evaluations and affective responses, with financial literacy influencing these processes by shaping perceived risk and institutional trust. Utilizing a multistage sampling strategy, survey data were collected from 449 individual investors and analyzed using Partial Least Squares Structural Equation Modeling (PLS-SEM). The results indicate that financial literacy is positively associated with investment intention, both directly and indirectly through a sequential mediation pathway. Specifically, higher financial literacy is associated with lower perceived risk, which subsequently strengthens trust in financial institutions and ultimately increases investment intention. These findings suggest that financial literacy functions not only as a cognitive resource but also as a psychological mechanism that influences how individuals interpret and respond to financial uncertainty. By validating a sequential cognition–affect pathway, this study provides a more comprehensive behavioral explanation for the inconsistent findings reported in prior research. The findings further suggest that financial literacy initiatives designed to address risk perceptions and institutional trust may be more effective in promoting capital market participation than programs focused solely on information provision.",SCOPUS_UI,10.3390/jrfm19070467,MATCH,INCLUDE,"I1,I2,I3,I4",Examina cómo la alfabetización financiera y la percepción de riesgo influyen en la intención de inversión de inversionistas individuales (I1-I4).,INCLUDE,
Behavioral Biases and Investor Decision-Making in the Saudi Stock Market: The Moderating Roles of Overconfidence and Loss Aversion in an Islamic and Oil-Dependent Economy,"Abdalla R., Al Aaraj H., Alam Y.","Journal of Risk and Financial Management, 19(7), 522",2026,10.3390/jrfm19070522,VERIFIED,1.0,Scopus only,https://scopus.unalproxy.elogim.com/pages/publications/105045885898?origin=resultslist,,"Background: This study examines how four canonical behavioral biases (overconfidence, herding, anchoring, and loss aversion) influence investor decision-making in the Saudi stock market (Tadawul), and whether overconfidence and loss aversion operate as moderating forces on herding and anchoring, respectively. Methods: Employing a quantitative, cross-sectional design with a stratified sample of 384 retail investors, the study applies Partial Least Squares Structural Equation Modelling (PLS-SEM) to test six hypotheses derived from Modern Portfolio Theory and Behavioral Finance frameworks. The measurement model satisfies established thresholds for reliability, convergent validity, and discriminant validity. Results: Results confirm that loss aversion is the dominant predictor of behaviorally influenced decision-making (β = 0.402, p < 0.001, f2 = 0.188), followed by herding (β = 0.234, p < 0.001) and overconfidence (β = 0.164, p = 0.001), while anchoring does not exert a statistically significant independent effect (β = 0.102, p = 0.084 one-tailed, p = 0.168 two-tailed). Neither the overconfidence × herding (β = 0.005, p = 0.920, two-tailed) nor the loss aversion × anchoring (β = −0.039, p = 0.330, two-tailed) interaction terms reach significance, indicating that these bias pairs operate as independent additive forces rather than compounding systems. The model explains 55.7% of the variance in investor decision-making (R2 = 0.557). Conclusion: The findings advance behavioral finance theory in GCC and Islamic equity markets by (1) demonstrating non-equivalence of anchoring effects relative to Western-market benchmarks, (2) resolving competing theoretical predictions about bias interaction effects, and (3) providing context-specific evidence that loss aversion subsumes anchoring cognition in the Saudi market. Practical implications for the Capital Market Authority, financial educators, and individual investors are discussed and contextualized within the Saudi market setting.",SCOPUS_UI,10.3390/jrfm19070522,MATCH,INCLUDE,"I1,I2,I3,I4","Analiza exceso de confianza, efecto manada, anclaje y aversión a la pérdida en inversionistas minoristas del mercado saudí (I1-I4).",INCLUDE,
Optimizing commodity investor decision-making: A metaheuristic approach to addressing behavioral biases in finance,"Rout S., Sahoo S., Mishra R.K.","Aip Conference Proceedings, 3388(1), 060007",2026,10.1063/5.0318722,VERIFIED,1.0,Scopus only,https://scopus.unalproxy.elogim.com/pages/publications/105042308367?origin=resultslist,,"There are substantial ramifications for investment analysis and portfolio management in identifying the effect of behavioral effects on commodities. It is important to take behavioral biases into account while making investment decisions. This study aims to educate investors on behavioral biases that they can face in the current frontier investment climate. The study discovered that individual investors frequently base their investing decisions on emotions rather than theories, using statistical methods such as paired-samples t-test, and descriptive analysis on data obtained from 390 respondents. Among the many emotional factors influencing investment choices, the results highlight risk aversion and risk perception as particularly salient. Consistent with other studies, this one shows that investors rarely follow the rules laid out by financial theories.",SCOPUS_UI,10.1063/5.0318722,MATCH,INCLUDE,"I1,I2,I3,I4",Examina aversión al riesgo y percepción de riesgo de inversionistas individuales en commodities (I1-I4).,INCLUDE,
